,correct_letter,original,permutation,normal_question
10,B,"{'beacon': 'A', 'melody': 'B', 'participatory': 'C'}","{'A': 'melody', 'B': 'beacon', 'C': 'participatory'}","TEXT: But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) melody
 B) beacon
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
11,B,"{'remedy': 'A', 'machine': 'B', 'formal': 'C'}","{'A': 'machine', 'B': 'remedy', 'C': 'formal'}","TEXT: Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) remedy
 C) formal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
12,B,"{'hands': 'A', 'canvas': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'hands', 'C': 'canvas'}","TEXT: Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) hands
 C) canvas
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
13,C,"{'ground': 'A', 'melody': 'B', 'participatory': 'C'}","{'A': 'melody', 'B': 'participatory', 'C': 'ground'}","TEXT: Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) melody
 B) participatory
 C) ground
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
14,B,"{'demigod': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'bridge', 'B': 'demigod', 'C': 'participatory'}","TEXT: As the madness  in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) demigod
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
15,C,"{'hand': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'bridge', 'B': 'participatory', 'C': 'hand'}","TEXT: Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) participatory
 C) hand
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
16,B,"{'clutches': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'participatory', 'B': 'clutches', 'C': 'bridge'}","TEXT: Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt; 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) participatory
 B) clutches
 C) bridge
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
17,A,"{'nut': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'nut', 'B': 'bridge', 'C': 'participatory'}","TEXT: There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) nut
 B) bridge
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
18,A,"{'apex': 'A', 'melody': 'B', 'participatory': 'C'}","{'A': 'apex', 'B': 'participatory', 'C': 'melody'}","TEXT: accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) apex
 B) participatory
 C) melody
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
19,A,"{'affliction': 'A', 'tapestry': 'B', 'governing': 'C'}","{'A': 'affliction', 'B': 'tapestry', 'C': 'governing'}","TEXT: But, insanity seems to be a regular affliction of Congress. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) affliction
 B) tapestry
 C) governing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
20,B,"{'blueprint': 'A', 'compass': 'B', 'federal': 'C'}","{'A': 'compass', 'B': 'blueprint', 'C': 'federal'}","TEXT: Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) compass
 B) blueprint
 C) federal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
21,B,"{'tsunami': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'tsunami', 'C': 'storm'}","TEXT: Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) tsunami
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
22,A,"{'chasm': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'chasm', 'B': 'river', 'C': 'abundant'}","TEXT: These measures would help close the wealth chasm. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) chasm
 B) river
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
23,B,"{'coach': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'abundant', 'B': 'coach', 'C': 'river'}","TEXT: Filed Under 24 Comments » Published: December 29, 2010 under Archived Featured Articles, Archived Guest Articles If you hired a wealth coach to help you build a seven-figure income by investing or starting a new business, would you expect to find yourself in bankruptcy court a year later, with your house on the auction block? 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) abundant
 B) coach
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
24,A,"{'shield': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'shield', 'B': 'river', 'C': 'abundant'}","TEXT: But in order to build your wealth shield against the threats posed by intrusive government, or what we call the “federal leviathan,” central bank currency manipulation, corporatism and other exogenous threats, you have to remain nimble and flexible enough to be able to move our assets into specific areas of the equity, bond and commodity markets that, at any given time, could be outperforming other asset classes. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) shield
 B) river
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
25,B,"{'form': 'A', 'compass': 'B', 'formal': 'C'}","{'A': 'compass', 'B': 'form', 'C': 'formal'}","TEXT: The intent of this form of intrusive legislation is to keep an eye on any NGO that could be considered unfavorable to the government. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) compass
 B) form
 C) formal
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
26,B,"{'path': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'bridge', 'B': 'path', 'C': 'participatory'}","TEXT: The Open Door Raj assumed that when the doors were open and restraints removed, China would naturally follow the American path to democracy, prosperity and Christianity. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bridge
 B) path
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
27,C,"{'obstacle': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'storm', 'B': 'widespread', 'C': 'obstacle'}","TEXT: The NGO experiences establish that there is a strong latent demand for education even among the poorest and a responsive education system can overcome the obstacle of poverty to bring children into schools. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) widespread
 C) obstacle
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
28,C,"{'underwear': 'A', 'machine': 'B', 'municipal': 'C'}","{'A': 'machine', 'B': 'municipal', 'C': 'underwear'}","TEXT: This guy is nothing more than a skidmark on the underwear of government, and when we get done you'll think so, too. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) municipal
 C) underwear
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
29,A,"{'gateway': 'A', 'machine': 'B', 'bureaucratic': 'C'}","{'A': 'gateway', 'B': 'machine', 'C': 'bureaucratic'}","TEXT: In the best of the prophetic tradition they will stand in the gateway of government and in the portals of business, calling people to justice for the poor, for the broken and for the excluded. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) gateway
 B) machine
 C) bureaucratic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
30,A,"{'navigation': 'A', 'melody': 'B', 'participatory': 'C'}","{'A': 'navigation', 'B': 'melody', 'C': 'participatory'}","TEXT: Now the instruments of navigation of democracy are threefold, for democracy rests upon three simple facts : what a man thinks of himself, what a man thinks of others, and what a man thinks of God. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) navigation
 B) melody
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
31,C,"{'barometer': 'A', 'melody': 'B', 'participatory': 'C'}","{'A': 'melody', 'B': 'participatory', 'C': 'barometer'}","TEXT: Mr. Speaker, I believe that there is no greater barometer of democracy than free speech and freedom of the press. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) melody
 B) participatory
 C) barometer
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
32,B,"{'chains': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'chains', 'C': 'storm'}","TEXT: So what do we need to know to break the chains of poverty in our lives? 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) chains
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
33,A,"{'voice': 'A', 'bridge': 'B', 'participatory': 'C'}","{'A': 'voice', 'B': 'bridge', 'C': 'participatory'}","TEXT: There are many visions of democracy, and in America we are fortunate to have The Bill of rights together with The Constitution and the Declaration of Independence to create a strong impression of the voice of Democracy. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) voice
 B) bridge
 C) participatory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
34,B,"{'poison': 'A', 'stage': 'B', 'governing': 'C'}","{'A': 'stage', 'B': 'poison', 'C': 'governing'}","TEXT: The Senate is poison. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) stage
 B) poison
 C) governing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
35,A,"{'turnstile': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'turnstile', 'B': 'machine', 'C': 'procedural'}","TEXT: December 10, 1996 The Teamsters union, which has filed a petition to represent Anne Arundel police officers and deputy sheriffs, is stuck in a bureaucratic turnstile that may ruin its chance of becoming the county's largest law enforcement bargaining unit.Since October, when more than 400 county police officers filed petition cards calling for a union vote, the Teamsters have been unable to arrange for elections. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) turnstile
 B) machine
 C) procedural
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
36,A,"{'parasite': 'A', 'ship': 'B', 'bureaucratic': 'C'}","{'A': 'parasite', 'B': 'bureaucratic', 'C': 'ship'}","TEXT: Thus it is that humanity today labors under the burden of a vast parasite, which, left unchecked, will do what all parasites do: it will destroy its host, even though its own survival depends upon the health of its host.  Today the parasite of government has the power to turn our entire planet into a radioactive cinder, unfit to sustain any kind of life as we know it.  As things stand now, it is likely to do this. But maybe it’s not too late. Maybe, by using HoloMatic institutions comprised of ethical Octologues, we can pull ourselves back from the brink of disaster and transform human society into a sustainable thriving whole. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) parasite
 B) bureaucratic
 C) ship
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
37,A,"{'consumption': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'consumption', 'B': 'river', 'C': 'abundant'}","TEXT: 08 Nor yet again is there any logical reason in the division of the field of the science of political economy for following that department which treats of the distribution of wealth with other departments treating of the consumption of wealth or of taxation, as is done by some of the minor and more recent writers. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) consumption
 B) river
 C) abundant
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
38,A,"{'bathtub': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'bathtub', 'B': 'procedural', 'C': 'machine'}","TEXT: The system as it evolved seemed to work as intended. Though 29 charter schools closed in the first decade of the state’s charter school initiative, others thrived. There’s no doubt that they’re popular. Once the legislature eliminated a cap of 100 schools statewide, the ranks of charters grew to 107 this year. Another 25 will open in the fall. The State Board of Education has largely let charter schools rise or fall on their own merits. To its credit, the state board didn’t drown charter schools in a bureaucratic bathtub. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) bathtub
 B) procedural
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
39,C,"{'vastness': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'machine', 'B': 'procedural', 'C': 'vastness'}","TEXT: In the final analysis, Keynesianism became the economic design whereby the modern capitalist state assumed its present bureaucratic vastness and endemic parasitism. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) machine
 B) procedural
 C) vastness
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
40,C,"{'proliferation': 'A', 'threat': 'B', 'mechanical': 'C'}","{'A': 'mechanical', 'B': 'threat', 'C': 'proliferation'}","TEXT: But the cost of gun proliferation in America is far higher then the security it provides. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) mechanical
 B) threat
 C) proliferation
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
41,C,"{'worshippers': 'A', 'threat': 'B', 'concealed': 'C'}","{'A': 'threat', 'B': 'concealed', 'C': 'worshippers'}","TEXT: Is that most of your fellow gun worshippers? 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) threat
 B) concealed
 C) worshippers
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
42,B,"{'cult': 'A', 'voice': 'B', 'metallic': 'C'}","{'A': 'voice', 'B': 'cult', 'C': 'metallic'}","TEXT: The gun cult and their stooges won't allow it to be released. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) voice
 B) cult
 C) metallic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
43,B,"{'theft': 'A', 'monster': 'B', 'controversial': 'C'}","{'A': 'controversial', 'B': 'theft', 'C': 'monster'}","TEXT: No, we can not agree that taxation is theft because it is not theft. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) controversial
 B) theft
 C) monster
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
44,C,"{'maintenance': 'A', 'storm': 'B', 'procedural': 'C'}","{'A': 'procedural', 'B': 'storm', 'C': 'maintenance'}","TEXT: In other cultures, the keeping of records and maintenance of bureaucracy was often dependent on much more laborious processes, or on products that surrendered to the vagaries of time. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) procedural
 B) storm
 C) maintenance
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
45,B,"{'pruning': 'A', 'machine': 'B', 'procedural': 'C'}","{'A': 'procedural', 'B': 'pruning', 'C': 'machine'}","TEXT: The bureaucratic pruning the Secretary General has in mind clearly falls well short of the ''50 percent cut in the entire U.N. bureaucracy'' demanded last year by Senator Jesse Helms, the North Carolina Republican who is chairman of the Senate Foreign Relations Committee and the most powerful congressional critic of the United Nations. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) procedural
 B) pruning
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
46,B,"{'exploitation': 'A', 'machine': 'B', 'inefficient': 'C'}","{'A': 'inefficient', 'B': 'exploitation', 'C': 'machine'}","TEXT: But even if it did the feminist exploitation of the bureaucracy scarcely justifies a distortion of the law as originally intended. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) inefficient
 B) exploitation
 C) machine
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
47,B,"{'migration': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'widespread', 'B': 'migration', 'C': 'storm'}","TEXT: “This cannot be called poverty migration,” insists Herbert Brücker of the IAB. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) widespread
 B) migration
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
48,C,"{'thief': 'A', 'mirror': 'B', 'decisive': 'C'}","{'A': 'decisive', 'B': 'mirror', 'C': 'thief'}","TEXT: Wisconsin Republican names notorious election thief to oversee the next election 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) decisive
 B) mirror
 C) thief
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
49,B,"{'hemorrhage': 'A', 'storm': 'B', 'federal': 'C'}","{'A': 'federal', 'B': 'hemorrhage', 'C': 'storm'}","TEXT: There is only one way to stop the tax hemorrhage. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) federal
 B) hemorrhage
 C) storm
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
50,C,"{'blindness': 'A', 'race': 'B', 'decisive': 'C'}","{'A': 'decisive', 'B': 'race', 'C': 'blindness'}","TEXT: * Although it’s now being reported, most of the American public, distracted by the cheerleading, hasn’t noticed that despite the general falseness and blindness of the election, the Iraqis learned enough about who was representing what to give the leaders of our puppet government, led by Ayad Allawi, a thorough whupping. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) decisive
 B) race
 C) blindness
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
51,A,"{'blight': 'A', 'storm': 'B', 'controversial': 'C'}","{'A': 'blight', 'B': 'storm', 'C': 'controversial'}","TEXT: Inflation in value is not under the control of legislators and is the reason we are suffering from the blight of taxation without representation. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) blight
 B) storm
 C) controversial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
52,A,"{'squeeze': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'squeeze', 'B': 'storm', 'C': 'widespread'}","TEXT: Greed is not considered an awful vice in poor communities--everyone reacts differently to the invisible squeeze of poverty. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) squeeze
 B) storm
 C) widespread
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
53,A,"{'veneer': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'veneer', 'B': 'abundant', 'C': 'river'}","TEXT: And they don’t have the glamour and veneer of wealth that appeals and dazzles, nor do they have the support of the lobbyists they can promise sweet payouts to once they get into office. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) veneer
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
54,B,"{'propagation': 'A', 'storm': 'B', 'widespread': 'C'}","{'A': 'storm', 'B': 'propagation', 'C': 'widespread'}","TEXT: Should he succeed, he's likely to bring this poverty propagation to Washington. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) storm
 B) propagation
 C) widespread
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
55,A,"{'trajectory': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'trajectory', 'B': 'abundant', 'C': 'river'}","TEXT: Because the trajectory of wealth is pointing away from highly indebted, wealth-grabbing, freedom-stealing nations in the west. 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) trajectory
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
56,A,"{'avalanche': 'A', 'river': 'B', 'abundant': 'C'}","{'A': 'avalanche', 'B': 'abundant', 'C': 'river'}","TEXT: How do you know if you are on the brink of change and you just need the right bit of information to tip you over the edge into a wealth avalanche? 
QUESTION: Which word is being used metaphorically in the given text? Choose the best option from the following:
 A) avalanche
 B) abundant
 C) river
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response."
