Unnamed: 0,prev_text,current_text,source,target,pos,original_target,source_pos,target_pos,noun_target,noun_target_score_1,original_target_score_1,noun_target_score_3,original_target_score_3,noun_target_actual_score_3,original_target_actual_score_3
10,Redrawing the political map for the Middle East comes immediately to mind.,"But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.
      ",beacon,example,"[('But', 'CCONJ'), (',', 'PUNCT'), ('we', 'PRON'), ('are', 'AUX'), ('there', 'ADV'), ('now', 'ADV'), ('and', 'CCONJ'), ('the', 'DET'), ('President', 'PROPN'), ('articulated', 'VERB'), ('a', 'DET'), ('vision', 'NOUN'), ('in', 'ADP'), ('an', 'DET'), ('American', 'PROPN'), ('Enterprises', 'PROPN'), ('Institute', 'PROPN'), ('speech', 'NOUN'), ('in', 'ADP'), ('February', 'PROPN'), ('in', 'ADP'), ('which', 'PRON'), ('he', 'PRON'), ('talked', 'VERB'), ('about', 'ADP'), ('Iraq', 'PROPN'), ('as', 'ADP'), ('a', 'DET'), ('democracy', 'NOUN'), ('beacon', 'NOUN'), ('for', 'ADP'), ('the', 'DET'), ('rest', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('region', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('example', 'NOUN')]",example,0.3327290136469384,0.15618580315477704,0.375,0.3333333333333335,0.0003718728870858688,0.0
11,The protocol was recommended for adoption by the National Institute on Clinical Excellence (NICE)—the NHS’s rationing and quality oversight board—and there you go; problem solved.1 Except it wasn’t.,"Indeed, as so often happens in centralized systems, the bureaucratic remedy for one problem led to even worse trouble down the line.
      ",remedy,solution,"[('Indeed', 'ADV'), (',', 'PUNCT'), ('as', 'SCONJ'), ('so', 'ADV'), ('often', 'ADV'), ('happens', 'VERB'), ('in', 'ADP'), ('centralized', 'ADJ'), ('systems', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('bureaucratic', 'ADJ'), ('remedy', 'NOUN'), ('for', 'ADP'), ('one', 'NUM'), ('problem', 'NOUN'), ('led', 'VERB'), ('to', 'ADP'), ('even', 'ADV'), ('worse', 'ADJ'), ('trouble', 'NOUN'), ('down', 'ADP'), ('the', 'DET'), ('line', 'NOUN'), ('\n      ', 'SPACE')]",bureaucracies,NOUN,"[('solution', 'NOUN')]",solution,0.47622156307917,0.23902585024333156,0.375,0.3333333333333335,0.0013184584178498986,0.009900990099009903
12,"He eventually became a disciple of Socrates, accepting his basic philosophy and dialectical style of debate, the pursuit of truth through questions, answers, and additional questions.","Plato witnessed the death of Socrates at the hands of the Athenian democracy in 399 BC.
      ",hands,authorities,"[('Plato', 'PROPN'), ('witnessed', 'VERB'), ('the', 'DET'), ('death', 'NOUN'), ('of', 'ADP'), ('Socrates', 'PROPN'), ('at', 'ADP'), ('the', 'DET'), ('hands', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('Athenian', 'ADJ'), ('democracy', 'NOUN'), ('in', 'ADP'), ('399', 'NUM'), ('BC', 'PROPN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('authorities', 'NOUN')]",authorities,0.5393878822485949,0.15618580315477704,0.5,0.3333333333333335,0.0008113590263691683,0.0
13,"In theory and in practice, economic and political freedoms reinforce one another.","Political philosophers from Aristotle to Samuel Huntington have noted that economic development and an expanding middle class can provide more fertile ground for democracy.
      ",ground,conditions,"[('Political', 'ADJ'), ('philosophers', 'NOUN'), ('from', 'ADP'), ('Aristotle', 'PROPN'), ('to', 'ADP'), ('Samuel', 'PROPN'), ('Huntington', 'PROPN'), ('have', 'AUX'), ('noted', 'VERB'), ('that', 'SCONJ'), ('economic', 'ADJ'), ('development', 'NOUN'), ('and', 'CCONJ'), ('an', 'DET'), ('expanding', 'VERB'), ('middle', 'ADJ'), ('class', 'NOUN'), ('can', 'AUX'), ('provide', 'VERB'), ('more', 'ADV'), ('fertile', 'ADJ'), ('ground', 'NOUN'), ('for', 'ADP'), ('democracy', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('conditions', 'NOUN')]",conditions,0.2749366024191132,0.15618580315477704,0.625,0.3333333333333335,0.0,0.0
14,Victims of American Social Engineering by Thomas A. Droleskey,"As the madness  in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them.
      ",demigod,concept,"[('As', 'SCONJ'), ('the', 'DET'), ('madness', 'NOUN'), ('\xa0 ', 'SPACE'), ('in', 'ADP'), ('Iraq', 'PROPN'), ('claims', 'VERB'), ('the', 'DET'), ('lives', 'NOUN'), ('of', 'ADP'), ('more', 'ADJ'), ('citizens', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('United', 'PROPN'), ('States', 'PROPN'), ('of', 'ADP'), ('America', 'PROPN'), ('with', 'ADP'), ('each', 'DET'), ('passing', 'VERB'), ('week', 'NOUN'), (',', 'PUNCT'), ('media', 'NOUN'), ('reports', 'NOUN'), ('are', 'AUX'), ('filled', 'VERB'), ('with', 'ADP'), ('very', 'ADV'), ('moving', 'ADJ'), ('stories', 'NOUN'), ('of', 'ADP'), ('how', 'SCONJ'), ('members', 'NOUN'), ('of', 'ADP'), ('our', 'PRON'), ('armed', 'ADJ'), ('forces', 'NOUN'), (',', 'PUNCT'), ('who', 'PRON'), ('have', 'AUX'), ('been', 'AUX'), ('placed', 'VERB'), ('into', 'ADP'), ('harm', 'NOUN'), (""'s"", 'PART'), ('way', 'NOUN'), ('needlessly', 'ADV'), ('by', 'ADP'), ('a', 'DET'), ('president', 'NOUN'), ('who', 'PRON'), ('lied', 'VERB'), ('about', 'ADP'), ('the', 'DET'), ('underlying', 'VERB'), ('premises', 'NOUN'), ('to', 'PART'), ('justify', 'VERB'), ('our', 'PRON'), ('invasion', 'NOUN'), ('of', 'ADP'), ('Iraq', 'PROPN'), ('and', 'CCONJ'), ('who', 'PRON'), ('continues', 'VERB'), ('to', 'PART'), ('believe', 'VERB'), ('that', 'SCONJ'), ('the', 'DET'), ('""', 'PUNCT'), ('demigod', 'NOUN'), ('""', 'PUNCT'), ('of', 'ADP'), ('""', 'PUNCT'), ('democracy', 'NOUN'), ('""', 'PUNCT'), ('will', 'AUX'), ('prevail', 'VERB'), ('in', 'ADP'), ('land', 'NOUN'), ('torn', 'VERB'), ('by', 'ADP'), ('sectarian', 'ADJ'), ('strife', 'NOUN'), ('among', 'ADP'), ('competing', 'VERB'), ('bands', 'NOUN'), ('of', 'ADP'), ('Mohammedans', 'PROPN'), (',', 'PUNCT'), ('are', 'AUX'), ('dealing', 'VERB'), ('with', 'ADP'), ('ever', 'ADV'), ('more', 'ADJ'), ('novel', 'ADJ'), ('ways', 'NOUN'), ('being', 'AUX'), ('invented', 'VERB'), ('and', 'CCONJ'), ('adapted', 'VERB'), ('by', 'ADP'), ('Iraqi', 'ADJ'), ('nationals', 'NOUN'), (',', 'PUNCT'), ('who', 'PRON'), ('resent', 'VERB'), ('their', 'PRON'), ('presence', 'NOUN'), ('in', 'ADP'), ('Iraq', 'PROPN'), (',', 'PUNCT'), ('to', 'PART'), ('kill', 'VERB'), ('them', 'PRON'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('concept', 'NOUN')]",concept,0.8646560318998512,0.15618580315477704,0.5,0.3333333333333335,0.012914131169709261,0.0
15,"The ways prison is used to control communities of color, all poor and working-class people, and women is a vital part of how the state keeps itself in power.","Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power.
      ",hand,authority,"[('Behind', 'ADP'), ('thought', 'NOUN'), ('control', 'NOUN'), ('in', 'ADP'), ('bourgeois', 'ADJ'), ('democracy', 'NOUN'), ('is', 'AUX'), ('the', 'DET'), ('thinly', 'ADV'), ('gloved', 'ADJ'), ('hand', 'NOUN'), ('of', 'ADP'), ('repressive', 'ADJ'), ('power', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('authority', 'NOUN')]",authority,0.40358719836460627,0.15618580315477704,0.5,0.3333333333333335,0.00023664638269100743,0.0
16,"Wow Lingsun, you have shined a light for us all.","Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;
      ",clutches,oppression,"[('Thank', 'VERB'), ('you', 'PRON'), ('for', 'ADP'), ('helping', 'VERB'), ('to', 'PART'), ('free', 'VERB'), ('us', 'PRON'), ('from', 'ADP'), ('the', 'DET'), ('clutches', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), ('and', 'CCONJ'), ('community', 'NOUN'), ('and', 'CCONJ'), ('sharing.&lt;/saracasm&gt', 'PROPN'), (';', 'PUNCT'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('oppression', 'NOUN')]",oppression,0.6324842536201756,0.15618580315477704,1.0,0.3333333333333335,0.0,0.0
17,Ron Paul has already offered interesting compromises on Socialist Security and the Federal Reserve that Nader should be open to discussing.,"There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything.
      ",nut,person,"[('There', 'PRON'), ('are', 'VERB'), ('good', 'ADJ'), ('libertarian', 'ADJ'), ('ideas', 'NOUN'), ('that', 'PRON'), ('a', 'DET'), ('global', 'ADJ'), ('democracy', 'NOUN'), ('nut', 'NOUN'), ('like', 'ADP'), ('Gravel', 'PROPN'), ('should', 'AUX'), ('find', 'VERB'), ('interesting', 'ADJ'), ('such', 'ADJ'), ('as', 'ADP'), ('jury', 'NOUN'), ('nullification', 'NOUN'), ('if', 'SCONJ'), ('Gravel', 'PROPN'), ('really', 'ADV'), ('wants', 'VERB'), ('to', 'PART'), ('give', 'VERB'), ('power', 'NOUN'), ('to', 'ADP'), ('""', 'PUNCT'), ('the', 'DET'), ('people""--but', 'NOUN'), ('after', 'ADP'), ('hearing', 'VERB'), ('that', 'DET'), ('interview', 'NOUN'), ('with', 'ADP'), ('Scott', 'PROPN'), ('Horton', 'PROPN'), (',', 'PUNCT'), ('Gravel', 'PROPN'), ('just', 'ADV'), ('seemed', 'VERB'), ('too', 'ADV'), ('pig', 'NOUN'), ('headed', 'VERB'), ('to', 'PART'), ('open', 'VERB'), ('his', 'PRON'), ('mind', 'NOUN'), ('up', 'ADP'), ('to', 'ADP'), ('anything', 'PRON'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('person', 'NOUN')]",person,0.8530507418749028,0.15618580315477704,0.125,0.3333333333333335,0.2359026369168357,0.0
18,".He argues that The Daily Show, in particular, can be characterized through a “deliberative theory of democracy”.He expands upon this in claiming, “only civil and honest conversation can provide the legitimate foundation for government (120).Is this an","accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs
      ",apex,ideal form,"[('accurate', 'ADJ'), ('characterization?In', 'ADJ'), ('other', 'ADJ'), ('words', 'NOUN'), (',', 'PUNCT'), ('have', 'AUX'), ('we', 'PRON'), ('reached', 'VERB'), ('the', 'DET'), ('apex', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), ('in', 'ADP'), ('which', 'PRON'), ('citizens', 'NOUN'), ('are', 'AUX'), ('mobilized', 'VERB'), ('to', 'PART'), ('provide', 'VERB'), ('a', 'DET'), ('foundation', 'NOUN'), ('for', 'ADP'), ('government?What', 'NOUN'), ('about', 'ADP'), ('the', 'DET'), ('people', 'NOUN'), ('who', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('watch', 'VERB'), ('Stewart', 'PROPN'), ('or', 'CCONJ'), ('Colbert?Should', 'AUX'), ('we', 'PRON'), ('ignore', 'VERB'), ('them', 'PRON'), ('and', 'CCONJ'), ('emphasize', 'VERB'), ('that', 'SCONJ'), ('the', 'DET'), ('existence', 'NOUN'), ('of', 'ADP'), ('these', 'DET'), ('programs', 'NOUN'), ('\n      ', 'SPACE')]",democracy,NOUN,"[('ideal', 'ADJ'), ('form', 'NOUN')]",form,0.43018201591562594,0.15618580315477704,0.5,0.3333333333333335,0.00030425963488843813,0.0
19,"Indeed, to suggest any other approach is insane.","But, insanity seems to be a regular affliction of Congress.
      ",affliction,dysfunction,"[('But', 'CCONJ'), (',', 'PUNCT'), ('insanity', 'NOUN'), ('seems', 'VERB'), ('to', 'PART'), ('be', 'AUX'), ('a', 'DET'), ('regular', 'ADJ'), ('affliction', 'NOUN'), ('of', 'ADP'), ('Congress', 'PROPN'), ('\n      ', 'SPACE')]",congress,NOUN,"[('dysfunction', 'NOUN')]",dysfunction,0.8360540327993747,0.15618580315477704,0.875,0.3333333333333335,0.00047329276538201487,0.0
20,"America succeeds not because of our government, but in spite of it.","Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is.
      ",blueprint,rules,"[('Without', 'ADP'), ('the', 'DET'), ('blueprint', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('Constitution', 'PROPN'), ('and', 'CCONJ'), ('the', 'DET'), ('Bill', 'PROPN'), ('of', 'ADP'), ('Rights', 'PROPN'), (',', 'PUNCT'), ('our', 'PRON'), ('government', 'NOUN'), ('would', 'AUX'), ('be', 'AUX'), ('more', 'ADV'), ('invasive', 'ADJ'), ('in', 'ADP'), ('our', 'PRON'), ('lives', 'NOUN'), ('than', 'SCONJ'), ('it', 'PRON'), ('already', 'ADV'), ('is', 'AUX'), ('\n      ', 'SPACE')]",constitution,NOUN,"[('rules', 'NOUN')]",rules,0.536807431348384,0.2756987282764428,0.625,0.5,0.0002704530087897228,0.0
21,He is surprised at just how much harm is done to workers when overseas manufacturers are boycotted.,"Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami.
      ",tsunami,increase,"[('Timmerman', 'PROPN'), (""'s"", 'PART'), ('interviews', 'NOUN'), ('with', 'ADP'), ('numerous', 'ADJ'), ('factory', 'NOUN'), ('workers', 'NOUN'), ('make', 'VERB'), ('it', 'PRON'), ('clear', 'ADJ'), ('that', 'SCONJ'), ('taking', 'VERB'), ('away', 'ADV'), ('their', 'PRON'), ('jobs', 'NOUN'), ('is', 'AUX'), ('akin', 'ADJ'), ('to', 'ADP'), ('creating', 'VERB'), ('a', 'DET'), ('poverty', 'NOUN'), ('tsunami', 'NOUN'), ('\n      ', 'SPACE')]",poverty,NOUN,"[('increase', 'NOUN')]",increase,0.0,0.25081129331499935,0.25,0.16666666666666674,3.380662609871535e-05,0.0495049504950495
22,"The video makes specific recommendations about redirecting numerous perverse subsidies, making polluters pay, and internalizing externalized corporate costs.","These measures would help close the wealth chasm.
      ",chasm,inequality,"[('These', 'DET'), ('measures', 'NOUN'), ('would', 'AUX'), ('help', 'VERB'), ('close', 'VERB'), ('the', 'DET'), ('wealth', 'NOUN'), ('chasm', 'NOUN'), ('\n      ', 'SPACE')]",wealth,NOUN,"[('inequality', 'NOUN')]",inequality,0.28440464796425213,0.2992696144197787,0.375,0.16666666666666674,0.00023664638269100743,0.07920792079207922
