,Unnamed: 0,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,Unnamed: 6,target,third note,literal expression suggestion 2,verbose literal expression,notes,Unnamed: 12,pos,source_pos
10,10,"The US policies, as it relates to drug trafficking, are concerned mainly with stemming the flow of illicit drugs to its shores.","But the flow of firearms to these Caribbean countries goes unchecked through their ports.
      ",flow,movement,y,,movement,,,,,,"[('But', 'CCONJ'), ('the', 'DET'), ('flow', 'NOUN'), ('of', 'ADP'), ('firearms', 'NOUN'), ('to', 'ADP'), ('these', 'DET'), ('Caribbean', 'ADJ'), ('countries', 'NOUN'), ('goes', 'VERB'), ('unchecked', 'ADJ'), ('through', 'ADP'), ('their', 'PRON'), ('ports', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
11,11,I can’t think of anything that EPA can do to discourage land conservation and improvement more than this action!,"Please come out of your bureaucratic shell and visit the real world.
      ",shell,mindset,y,,mindset,,,,To come out of your shell is idiomatic,,"[('Please', 'INTJ'), ('come', 'VERB'), ('out', 'ADP'), ('of', 'ADP'), ('your', 'PRON'), ('bureaucratic', 'ADJ'), ('shell', 'NOUN'), ('and', 'CCONJ'), ('visit', 'VERB'), ('the', 'DET'), ('real', 'ADJ'), ('world', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
12,12,"Our politicians constantly talk about ""getting out of the way"" of business, of ""promoting work, savings and investment.""","The flexibility of the marketplace is constantly praised over the rigidity of government.
      ",rigidity,stifiling,n,,inflexibility,,stubbornness,inflexibility,Entire sentence is metaphorical in the sense that government (as well as marketplace) is an abstraction with no literal traits,,"[('The', 'DET'), ('flexibility', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('marketplace', 'NOUN'), ('is', 'AUX'), ('constantly', 'ADV'), ('praised', 'VERB'), ('over', 'ADP'), ('the', 'DET'), ('rigidity', 'NOUN'), ('of', 'ADP'), ('government', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
13,13,Poverty is not a crime.,"Poverty is the mother of crime.
      ",mother,cause,y,,cause,,source,,,,"[('Poverty', 'NOUN'), ('is', 'AUX'), ('the', 'DET'), ('mother', 'NOUN'), ('of', 'ADP'), ('crime', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
14,14,"If any attempt is made to assess the problem as a whole, each side complains about “false equivalence” and doubles down on blaming the opposition.","It’s not that the villains they’ve identified don’t share in the blame, because they’ve all played a part in the unraveling of government.
      ",unraveling,rules aboltion,n,,dysfunction,,dysfunction,,,,"[('It', 'PRON'), ('’s', 'VERB'), ('not', 'PART'), ('that', 'SCONJ'), ('the', 'DET'), ('villains', 'NOUN'), ('they', 'PRON'), ('’ve', 'AUX'), ('identified', 'VERB'), ('do', 'AUX'), ('n’t', 'PART'), ('share', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('blame', 'NOUN'), (',', 'PUNCT'), ('because', 'SCONJ'), ('they', 'PRON'), ('’ve', 'AUX'), ('all', 'ADV'), ('played', 'VERB'), ('a', 'DET'), ('part', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('unraveling', 'NOUN'), ('of', 'ADP'), ('government', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
15,15,Understanding that democracy would no more solve the region’s problems than shooting a rabid dog full of PCP would improve its mood was as easy as looking at the dominant political movements that were going to compete in such an election.,"American leaders were ill-prepared to grasp this because the Republicans were still besotted with an idealistic vision of American democracy propounded by the Democratic Party in the first half of the last century and utterly incapable of understanding that democracy is a tool and it only works in the hands of a people of good character.
      ",tool,System,y,,system,,,,,,"[('American', 'ADJ'), ('leaders', 'NOUN'), ('were', 'AUX'), ('ill', 'ADV'), ('prepared', 'VERB'), ('to', 'PART'), ('grasp', 'VERB'), ('this', 'PRON'), ('because', 'SCONJ'), ('the', 'DET'), ('Republicans', 'PROPN'), ('were', 'AUX'), ('still', 'ADV'), ('besotted', 'VERB'), ('with', 'ADP'), ('an', 'DET'), ('idealistic', 'ADJ'), ('vision', 'NOUN'), ('of', 'ADP'), ('American', 'ADJ'), ('democracy', 'NOUN'), ('propounded', 'VERB'), ('by', 'ADP'), ('the', 'DET'), ('Democratic', 'PROPN'), ('Party', 'PROPN'), ('in', 'ADP'), ('the', 'DET'), ('first', 'ADJ'), ('half', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('last', 'ADJ'), ('century', 'NOUN'), ('and', 'CCONJ'), ('utterly', 'ADV'), ('incapable', 'ADJ'), ('of', 'ADP'), ('understanding', 'VERB'), ('that', 'SCONJ'), ('democracy', 'NOUN'), ('is', 'AUX'), ('a', 'DET'), ('tool', 'NOUN'), ('and', 'CCONJ'), ('it', 'PRON'), ('only', 'ADV'), ('works', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('hands', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('people', 'NOUN'), ('of', 'ADP'), ('good', 'ADJ'), ('character', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
16,16,[EMPTY],"He advocates for the burning of bureaucracy, noting that though most New England police stations are made of brick or stone, their roofs are still wood, and providing instructions on how to make a Molotov cocktail.
    ",burning,reform,n,,destruction,,destruction,,,,"[('He', 'PRON'), ('advocates', 'VERB'), ('for', 'ADP'), ('the', 'DET'), ('burning', 'NOUN'), ('of', 'ADP'), ('bureaucracy', 'NOUN'), (',', 'PUNCT'), ('noting', 'VERB'), ('that', 'SCONJ'), ('though', 'SCONJ'), ('most', 'ADJ'), ('New', 'PROPN'), ('England', 'PROPN'), ('police', 'NOUN'), ('stations', 'NOUN'), ('are', 'AUX'), ('made', 'VERB'), ('of', 'ADP'), ('brick', 'NOUN'), ('or', 'CCONJ'), ('stone', 'NOUN'), (',', 'PUNCT'), ('their', 'PRON'), ('roofs', 'NOUN'), ('are', 'AUX'), ('still', 'ADV'), ('wood', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('providing', 'VERB'), ('instructions', 'NOUN'), ('on', 'ADP'), ('how', 'SCONJ'), ('to', 'PART'), ('make', 'VERB'), ('a', 'DET'), ('Molotov', 'PROPN'), ('cocktail', 'NOUN'), ('\r\n    ', 'SPACE')]",NOUN
17,17,Democracy is one of the forces in conflict with this ideology.,"Democracy longs for peace, equality, and a simplified life.
      ",longs,causes,n,,desires,verb,desires,wants,"The more metaphorical aspect of the sentence is in ascribing desires to democracy, an abstract concept, rather than the people in a democracy",,"[('Democracy', 'NOUN'), ('longs', 'NOUN'), ('for', 'ADP'), ('peace', 'NOUN'), (',', 'PUNCT'), ('equality', 'NOUN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('a', 'DET'), ('simplified', 'ADJ'), ('life', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
18,18,"The video makes specific recommendations about redirecting numerous perverse subsidies, making polluters pay, and internalizing externalized corporate costs.","These measures would help close the wealth chasm.
      ",chasm,income inequality,n,,inequality,,inequality,difference,,,"[('These', 'DET'), ('measures', 'NOUN'), ('would', 'AUX'), ('help', 'VERB'), ('close', 'VERB'), ('the', 'DET'), ('wealth', 'NOUN'), ('chasm', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
19,19,Loc: SE Wisconsin I had exactly the same problem with a .300 WM back in the late '90's.,"I couldn't get the gun to group inside of 3"" so I took it and the targets to a gun magician I know.
      ",magician,gunsmith,n,,expert,,expert,,,,"[('I', 'PRON'), ('could', 'AUX'), (""n't"", 'PART'), ('get', 'VERB'), ('the', 'DET'), ('gun', 'NOUN'), ('to', 'ADP'), ('group', 'NOUN'), ('inside', 'ADV'), ('of', 'ADP'), ('3', 'NUM'), ('""', 'PUNCT'), ('so', 'CCONJ'), ('I', 'PRON'), ('took', 'VERB'), ('it', 'PRON'), ('and', 'CCONJ'), ('the', 'DET'), ('targets', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('gun', 'NOUN'), ('magician', 'NOUN'), ('I', 'PRON'), ('know', 'VERB'), ('\r\n      ', 'SPACE')]",NOUN
20,20,"Without ink, it is impossible to tell what the historical landscape of China would look like.","In other cultures, the keeping of records and maintenance of bureaucracy was often dependent on much more laborious processes, or on products that surrendered to the vagaries of time.
      ",maintenance,preservation,y,,continuation,,continuation,,,,"[('In', 'ADP'), ('other', 'ADJ'), ('cultures', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('keeping', 'NOUN'), ('of', 'ADP'), ('records', 'NOUN'), ('and', 'CCONJ'), ('maintenance', 'NOUN'), ('of', 'ADP'), ('bureaucracy', 'NOUN'), ('was', 'AUX'), ('often', 'ADV'), ('dependent', 'ADJ'), ('on', 'ADP'), ('much', 'ADV'), ('more', 'ADV'), ('laborious', 'ADJ'), ('processes', 'NOUN'), (',', 'PUNCT'), ('or', 'CCONJ'), ('on', 'ADP'), ('products', 'NOUN'), ('that', 'PRON'), ('surrendered', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('vagaries', 'NOUN'), ('of', 'ADP'), ('time', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
21,21,"MARCH 17, 2014","American policymakers don't get it; the politicians don't get it; Fox News certainly doesn't get it; the advocates for various flavors and colors of democracy don't get it.
      ",colors,types,y,,types,,varieties,,,,"[('American', 'ADJ'), ('policymakers', 'NOUN'), ('do', 'AUX'), (""n't"", 'PART'), ('get', 'VERB'), ('it', 'PRON'), (';', 'PUNCT'), ('the', 'DET'), ('politicians', 'NOUN'), ('do', 'AUX'), (""n't"", 'PART'), ('get', 'VERB'), ('it', 'PRON'), (';', 'PUNCT'), ('Fox', 'PROPN'), ('News', 'PROPN'), ('certainly', 'ADV'), ('does', 'AUX'), (""n't"", 'PART'), ('get', 'VERB'), ('it', 'PRON'), (';', 'PUNCT'), ('the', 'DET'), ('advocates', 'NOUN'), ('for', 'ADP'), ('various', 'ADJ'), ('flavors', 'NOUN'), ('and', 'CCONJ'), ('colors', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), ('do', 'AUX'), (""n't"", 'PART'), ('get', 'VERB'), ('it', 'PRON'), ('\r\n      ', 'SPACE')]",NOUN
22,22,"Finally, the intruders will be at a big tactical disadvantage, going through a choke point and into a defended position.","The more you seriously think about real self-defense, instead relying on magical gun talisman, the more you realize what a small part firing your gun plays.
      ",talisman,I couldn't come up with a target.,n,,protective object,,object,protective object,,,"[('The', 'PRON'), ('more', 'ADV'), ('you', 'PRON'), ('seriously', 'ADV'), ('think', 'VERB'), ('about', 'ADP'), ('real', 'ADJ'), ('self', 'NOUN'), ('defense', 'NOUN'), (',', 'PUNCT'), ('instead', 'ADV'), ('relying', 'VERB'), ('on', 'ADP'), ('magical', 'ADJ'), ('gun', 'NOUN'), ('talisman', 'NOUN'), (',', 'PUNCT'), ('the', 'PRON'), ('more', 'ADV'), ('you', 'PRON'), ('realize', 'VERB'), ('what', 'PRON'), ('a', 'DET'), ('small', 'ADJ'), ('part', 'NOUN'), ('firing', 'VERB'), ('your', 'PRON'), ('gun', 'NOUN'), ('plays', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
23,23,The problem is that in many Muslim countries people have to be concerned not only with the risks of the financial transaction itself but with price stability affected by a plethora government-induced distortions and inefficiencies.,"If in addition to the risks of the investment projects, the investor has to be concerned with the credibility of government policies, or arbitrary government decisions or distortions that threaten long-term price stability in the economy, he/she will be reluctant to invest in contracts that do not provide fixed nominal payoffs.
      ",decisions,actions,y,,actions,,policies,,,,"[('If', 'SCONJ'), ('in', 'ADP'), ('addition', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('risks', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('investment', 'NOUN'), ('projects', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('investor', 'NOUN'), ('has', 'VERB'), ('to', 'PART'), ('be', 'AUX'), ('concerned', 'VERB'), ('with', 'ADP'), ('the', 'DET'), ('credibility', 'NOUN'), ('of', 'ADP'), ('government', 'NOUN'), ('policies', 'NOUN'), (',', 'PUNCT'), ('or', 'CCONJ'), ('arbitrary', 'ADJ'), ('government', 'NOUN'), ('decisions', 'NOUN'), ('or', 'CCONJ'), ('distortions', 'NOUN'), ('that', 'PRON'), ('threaten', 'VERB'), ('long', 'ADJ'), ('term', 'NOUN'), ('price', 'NOUN'), ('stability', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('economy', 'NOUN'), (',', 'PUNCT'), ('he', 'PRON'), ('/', 'PUNCT'), ('she', 'PRON'), ('will', 'AUX'), ('be', 'AUX'), ('reluctant', 'ADJ'), ('to', 'PART'), ('invest', 'VERB'), ('in', 'ADP'), ('contracts', 'NOUN'), ('that', 'PRON'), ('do', 'AUX'), ('not', 'PART'), ('provide', 'VERB'), ('fixed', 'VERB'), ('nominal', 'ADJ'), ('payoffs', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
24,24,"Part II examines what political theorist Samuel P. Huntington calls the “Third Wave” of democratization, a movement that has expanded democracy’s visibility but mangled its spirit.","Part III explains why elections do not deserve the label of beacon of democracy, given the record of past transitions to democracy.
      ",beacon,ideal,y,1.0,ideal,,symbol,signifier,,,"[('Part', 'NOUN'), ('III', 'PROPN'), ('explains', 'VERB'), ('why', 'SCONJ'), ('elections', 'NOUN'), ('do', 'AUX'), ('not', 'PART'), ('deserve', 'VERB'), ('the', 'DET'), ('label', 'NOUN'), ('of', 'ADP'), ('beacon', 'NOUN'), ('of', 'ADP'), ('democracy', 'NOUN'), (',', 'PUNCT'), ('given', 'VERB'), ('the', 'DET'), ('record', 'NOUN'), ('of', 'ADP'), ('past', 'ADJ'), ('transitions', 'NOUN'), ('to', 'ADP'), ('democracy', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
25,25,[EMPTY],"Income is the most inaccurate judge of wealth.
    ",judge,indicator,y,1.0,indicator,,,,,,"[('Income', 'NOUN'), ('is', 'AUX'), ('the', 'DET'), ('most', 'ADV'), ('inaccurate', 'ADJ'), ('judge', 'NOUN'), ('of', 'ADP'), ('wealth', 'NOUN'), ('\r\n    ', 'SPACE')]",NOUN
26,26,Re: Israel seizes Iranian arms bound for Hezbollah Quote Postby The Khan آ» Jan 06 2010,"Considering the gaza line is being filled by water etc, supposedly in order to block out the weapons smugglers, I hope HAMAS will lose its artery of guns.
      ",artery,supply route,y,1.0,supply route,,source,,,,"[('Considering', 'VERB'), ('the', 'DET'), ('gaza', 'PROPN'), ('line', 'NOUN'), ('is', 'AUX'), ('being', 'AUX'), ('filled', 'VERB'), ('by', 'ADP'), ('water', 'NOUN'), ('etc', 'X'), (',', 'PUNCT'), ('supposedly', 'ADV'), ('in', 'ADP'), ('order', 'NOUN'), ('to', 'PART'), ('block', 'VERB'), ('out', 'ADP'), ('the', 'DET'), ('weapons', 'NOUN'), ('smugglers', 'NOUN'), (',', 'PUNCT'), ('I', 'PRON'), ('hope', 'VERB'), ('HAMAS', 'PROPN'), ('will', 'AUX'), ('lose', 'VERB'), ('its', 'PRON'), ('artery', 'NOUN'), ('of', 'ADP'), ('guns', 'NOUN'), ('\r\n      ', 'SPACE')]",NOUN
27,27,[EMPTY],"According to the survey,The United States of America,which has 90 guns for every 100 citizens,is the world's biggest haven of guns.
    ",haven,country,n,0.0,place,,location,"place, favorable place, favorable location",,,"[('According', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('survey', 'NOUN'), (',', 'PUNCT'), ('The', 'DET'), ('United', 'PROPN'), ('States', 'PROPN'), ('of', 'ADP'), ('America', 'PROPN'), (',', 'PUNCT'), ('which', 'PRON'), ('has', 'VERB'), ('90', 'NUM'), ('guns', 'NOUN'), ('for', 'ADP'), ('every', 'DET'), ('100', 'NUM'), ('citizens', 'NOUN'), (',', 'PUNCT'), ('is', 'AUX'), ('the', 'DET'), ('world', 'NOUN'), (""'s"", 'PART'), ('biggest', 'ADJ'), ('haven', 'NOUN'), ('of', 'ADP'), ('guns', 'NOUN'), ('\r\n    ', 'SPACE')]",NOUN
