,prev_text,current_text,source,literal expression suggestion 1,Good or Not? ,,target,third note,literal expression suggestion 2,verbose literal expression,notes,
28,People elect someone but this someone always follows the word and the will of another someone who is superior of him (this is called bank or multi industry or natural resources owner).,"Democracy is a circle where each and everybody have equal distance from the center, a center which represents the one voice for all.
      ",circle,system,y,1,system,,,,,
29,"We will see judgement of the nations that have rejected the word of truth and the salvation of God in Christ, and the baton of the gospel being passed over to the Jewish nation, as the gentiles fall away (by gentiles falling away I mean less and less people coming to faith in previously Christian gentile nations, not 'true' Christian's rejecting Christ) and the Jews come to believe, with the fullness of the Gentiles having come in.","So yes, I believe as Bob, that much of what we read in scripture is focused on and around Israel and the Middle East, with judgements on the nations also for rejecting the truth and turning to idols of wealth, lust and false teachings.
      ",idols,false values or desires,y,1,desires,,desires,immoral desires,,
30,"And thus anarchy means coordination, without rule from the bureaucracy broadly defined, the economical and/or political/administrative superiors in private and public sectors (in contrast to the people), down towards the bottom, i.e. in a coercive, repressive manner.","b) and t hus,""anarchy"" is higher forms of economical and political/adminstrative democracy ; 1. ideally , i.e. 100% anarchy ; mean ing 100% coordination on equal footing, without superiors and subordinates, horizontal organization, and co-
      ",forms,not metaphorical,n,0,types,not that metaphorical,types,,,
31,"Wow Lingsun, you have shined a light for us all.","Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;
      ",clutches,control,y,1,oppression,,oppression,,,
32,[EMPTY],"This guy is nothing more than a skidmark on the underwear of government, and when we get done you'll think so, too.
    ",underwear,reputation,y,1,reputation,,part,insignificant part,Skidmark on underwear is idiomatic,
33,This is a tolerance that is unthinkable in our part of the world.,"Yet if we are to rescue the people of South Asia from the scourge of poverty, disease, war, ignorance, pestilence and hunger, this is the model to follow.
      ",scourge,hardship,y,1,hardship,,situation,"negative situation, detrimental situation, undesireable situation",,
34,Why would this be a politically brilliant move?,"First, it wraps the opposition in the mantle of popular democracy.
      ",mantle,label,y,1,label,,category,,Label could also be considered metaphorical,
35,[EMPTY],"We need to return to a constitutional federal government, instead of this bloated leech of bureaucracy.
    ",leech,burden,y,1,problem,,problem,"liability, taker",Burden could also be considered metaphorical,
36,"Their power is gained by deception-using 3rd party agents, control of media, education, infiltration and ""covet means""-the ability to coin (create) the money of the planet, it is used to finance wars and all facets of their control, belief in money, the monetary system is vital; money is therefore a religion.","Governments are fictions and gain their power through the belief of the population that the government has power, when in reality the only power the government has is from the people, if the people cease to blindly believe, the power of the ruling elite could be broken, but this is very unlikely with so much hate in the world and non-caring for your neighbor.
      ",fictions,constructs,y,1,constructs,,illusions,,,
37,The Five Faces of False Religion,"How to tell if the religion or faith-based system you follow is false
      ",system,belief,y,1,worldview,,worldview,,System doesn't seem strongly metaphorical here,
38,"My gun is scattered about the house, I will return in just a moment.""","You then calmly get out of bed, go to the kitchen to get the key to the guncase out of hte sugar, you get the gun body, and the key to the bookcase that has the cylinder.
      ",body,handle,n,0,part,,part,"main part, primary part",,
39,"Additionally, New Hampshire's lack of a broad-based tax system (aside from the controversial state-wide property tax) has resulted in the state's local communities having some of the nation's highest property taxes.","Overall, New Hampshire remains ranked 49th among states in combined average state and local tax burden.
      ",burden,cost,y,1,cost,,level,,,
40,"Swapping out countertops and cabinetry can have a more dramatic (and instantaneous) aesthetic effect, provided your budget isn't on life support.","If you haven't yet found inspiration in our countertop overview, steer your trusty Internet browser toward apartment mecca (the Midwest addition) and rejoice in the beauty that is recycled glass countertops.
      ",apartment,not metaphorical,y,1,N/A,not that metaphorical,,,"Source is the name of a website about apartment interior design, decoration, or furnishings",
41,"We Republicans see in our constitutional form of government the great framework which assures the orderly but dynamic fulfillment of the whole man, and we see the whole man as the great reason for instituting orderly government in the first place.","We see, in private property and in economy based upon and fostering private property, the one way to make government a durable ally of the whole man, rather than his determined enemy.
      ",ally,source of individual rights,n,0,boon,,,"friend, benefactor",Friend and benefactor could also be considered metaphorical,
42,"Running the government printing presses will set the classic conditions for inflation, too many dollars chasing too few goods.","The “stimulus” bill will only stimulate production of taxes and money to cover the trillion dollar debts “as far as the eye can see.”
      ",production,generation,y,1,generation,,creation,increase,,
43,[EMPTY],"The Constitutional seed has been firmly placed, and one of the Sheriffs in New Hampshire has conceded that the Obama's placement on the primary ballot in NH is in clear violation of NH law; in that on November 18, 2011, theBallot Law Commission failed to answer the complaint questioning Obama's eligibility.
    ",seed,idea,y,1,idea,,concept,rule,,
44,"The Wealth Shield is all about recognizing the threats to your money, as well as the opportunities in the market that allow you to protect and grow your wealth.","But in order to build your wealth shield against the threats posed by intrusive government, or what we call the “federal leviathan,” central bank currency manipulation, corporatism and other exogenous threats, you have to remain nimble and flexible enough to be able to move our assets into specific areas of the equity, bond and commodity markets that, at any given time, could be outperforming other asset classes.
      ",shield,investment,n,0,protection,,protection,,,
45,[EMPTY],"what's their tax burden been like for the past, say, 5-6 decades or so? fairly low - same story for general burden of governance. which, yes, is a major reason for their incredible economic success.
      ",burden,cost,y,1,cost,,cost,,,
46,The new Kyrgyz non-profit law lacks this state supervision provision.,"The intent of this form of intrusive legislation is to keep an eye on any NGO that could be considered unfavorable to the government.
      ",form,type,y,1,type,,,,,
47,"In todays pages: Aftermath election, foreclosures","Like everyone else, Times opinionaters are slowly recovering from election delirium and are now surveying the landscape.
      ",delirium,chaos,y,1,chaos,,excitement,distraction,,
48,Redrawing the political map for the Middle East comes immediately to mind.,"But, we are there now and the President articulated a vision in an American Enterprises Institute speech in February in which he talked about Iraq as a democracy beacon for the rest of the region.
      ",beacon,example,y,1,example,,,,,
49,"America succeeds not because of our government, but in spite of it.","Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is.
      ",blueprint,rights,n,0,rules,,system,rules,,
50,[EMPTY],"They’re hell bent on returning America to their vision of the Wild West, which isn’t the gun haven they imagine it was.
    ",haven,place,y,1,place,,location,"favorable place, favorable location",,
51,Violent criminals such as Billy the Kid and John Dillinger became celebrated and in some quarters even admired.,"I am not aware of another developed country that has had a similar romance of the gun.
      ",romance,fascination,y,1,fascination,,idealization,,,
52,"Societies where women are more equal stand a greater chance of eliminating poverty, starting with reducing it by half by 2015.","At this critical juncture between the promise and its realization, poverty remains a complex puzzle.
      ",puzzle,problem,y,1,problem,,,,,
53,"Lex Luthor, readers will recall, was the power-hungry business magnate of immense wealth who served as Superman’s foil in all those comics and movies.","The power craving madman of wealth has been a staple for movies of all sorts, in fact.
      ",madman,not metaphorical,n,0,bad person,,villain,,,
54,"Does it happen, sure.","But the cost of gun proliferation in America is far higher then the security it provides.
      ",proliferation,increase,y,1,increase,,,,,
55,Member since:,"08-23-2010 I thoroughly detest the stupid fragility of guns in this game.
      ",fragility,unreliability,y,1,weakness,,weakness,,,
56,[EMPTY],"Preview of the 2014 Salvation Army Team Crest featuring the Beggar's team moto ""You""ll Never Beg Alone"".
    ",team,not metaphorical,n,0,group,not that metaphorical,group,,,
57,"You sleep your guilt-free nights between your fresh sheets, while I work a second job to pay for my books, to have extra to send back.","You do not feel your family clutching the heels of your feet as you climb up the ladder, out of the well of poverty, clinging and pushing away.
      ",well,situation,y,1,situation,,,"negative situation, detrimental situation, undesireable situation",,
58,[EMPTY],"Wisconsin Republican names notorious election thief to oversee the next election
    ",thief,cheater,y,1,cheater,,,,,
59,Government operates under different rules because it is government.,"No, we can not agree that taxation is theft because it is not theft.
      ",theft,taxation,n,0,expropriation,,expropriation,unjust expropriation,,
60,[EMPTY],"The NRA brand is right up there with the strongest and most recognizable brands in the world. - See more at: http://go.nra.org/go-learn/welcome-to-nra-go.aspx#sthash.qDfw9A55.dpuf
    ",brand,not metaphorical,n,0,name,not that metaphorical,name,,,
61,"""The Rothschilds introduced the rule of money into European politics.","The Rothschilds were the servants of money who undertook the reconstruct the world as an image of money and its functions.
      ",servants,obsession,n,0,obsession,,benefactors,,,
62,"; HENRY GEORGE ON THE SOCIAL REVOLUTION ... ... to an audience which filled the orchestra seats and half filled the seats in the balcony and dress circle, on the subject of "" The Crime of Poverty. ... query.nytimes.com/gst/abstract.html?res=F10A10F63F5B10738DDDAD0A94DA405B8584F0D3","A Topical Directory: Search for poverty and crime The Crime of Poverty by Henry George; Global Distribution of Poverty Global poverty ... The Crime of Poverty ... Poverty in the United States - Wikipedia, ... www.topicala.com/tag/poverty%20and%20crime
      ",crime,injustice,y,1,injustice,,,,,
63,This is achieved by three main processes which combine to effectively deter democracy.,"These are the wealth barrier, the bureaucracy barrier and, lastly, the capital barrier.
      ",barrier,,n,0,difficulty,,difficulty,"hindrance, obstacle, problem",,
64,The centre of world capitalism can afford to have a much bigger debt than you've currently got.,"Your problem is like ours - if the very rich hoover up all the money, how can the system work?
      ",hoover,increase,n,0,hoard,verb,take,hoard,,
65,2000.,"Katherine Newman explores the explosion of working poverty in urban America.
      ",explosion,growth,y,1,increase,,increase,large increase,,
66,He thinks this won’t provoke an expensive lawsuit that the city will lose?,"The gun ordinance also addresses what police and others believe is a big reason for what they say is a flood of illegal guns into Chicago and why the city’s police officers seize more illegal guns than any police department in the United States: The sale of guns by so-called straw purchasers, who then transfer them to people who are not legally allowed to buy and possess firearms.
      ",flood,increase,y,1,increase,,,large increase,,
67,And let's then ask: what makes a person ready for change?,"How do you know if you are on the brink of change and you just need the right bit of information to tip you over the edge into a wealth avalanche?
      ",avalanche,increase,y,1,increase,,,large increase,,
68,"Diplomatically, the Open Door asked the other great powers to maintain free trade in their zones of influence; culturally, the Open Door echoed the famous goals President McKinley set for colonial rule in the Philippines: “To uplift, civilize, and Christianize.”","The Open Door Raj assumed that when the doors were open and restraints removed, China would naturally follow the American path to democracy, prosperity and Christianity.
      ",path,process,y,1,process,,direction,,,
69,"You know like writing an article on this guy, rather then clarifying why you cherry picked issues on the debate, and addressing flat out lies you made (well not you but the author of said article)","I would add that the author goes on to write this after his other article on the ""top 10 gun myths"" is trounced and laughable filled with such lies like ""armed citizens"" have never stopped a mass shooting.
      ",myths,falsehoods,y,1,falsehoods,,untruths,lies,,
70,He is surprised at just how much harm is done to workers when overseas manufacturers are boycotted.,"Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami.
      ",tsunami,increase,y,1,increase,,,large increase,,
71,Which part of “well-regulated” is ambiguous or hard to understand?,"So this myopic aversion of the NRA and fellow gun advocates to gun reform and background checks is baffling.
      ",aversion,opposition,y,1,opposition,,dislike,"strong dislike, strong opposition",,
72,[EMPTY],"Barack Obama has announced his intention to appoint current Bureau of Alcohol, Tobacco and Firearms and Explosives (ATF) Acting Director B. Todd Jones as permanent Director despite a bureaucratic tenure riddled with cover up, cronyism and outright intimidation of his subordinates
    ",tenure,not metaphorical,n,0,period,not that metaphorical,period,time,,
73,"The rapidity of this change has disrupted virtually every aspect of the lives of this ancient society, deeply rooted in the traditions of its rigid social structure.","The living conditions of most Mauritanians have worsened, and, more important, their vulnerability to poverty has increased and the threat of poverty loom persistently in the background.
      ",threat,possibility,y,1,possibility,,,"negative possibility, undesireable possibility",,
74,"From the e-newsletter on the affordable housing production and financing industry, State of the Market 35: The last-mile counterpart, by David Smith of Recap Market Advisors:","Government is a factory that produces only two products
      ",factory,system,y,1,system,,,,,
75,What this means is that the future with Perry is the future of American poverty.,"Should he succeed, he's likely to bring this poverty propagation to Washington.
      ",propagation,spread,y,1,spread,,increase,,,
76,It’s gotten him where he is today.,"Oil wealth pirate and Alaska governor, Sean Parnell.
      ",pirate,thief,y,1,thief,,,,,
77,Let us embrace it.,"Our democracy must be not only the envy of the world but the engine of our OWN renewal.
      ",envy,example,y,1,ideal,,ideal,,,
78,"His father, also named Vergel, is from Manila, Philippines.","They’re not apostles of the GOP, he says, but because of their conservative outlook he is not part of what he calls the Democratic fantasy of a monolithic youth vote that backs Obama.
      ",fantasy,illusion,n,0,desire,,desire,ideal desire,,
79,"Get used to it folks – if these two socialists get into office (ok, a bit harsh with Biden but I’m dead on with that Saul Alinsky devotee, Obama), their sense of charity will be sated with your money.","I’ll make this bet – if they do win the Prez prize, you can be sure that the fastest growing industry will not be that in the private sector – it WILL be the non-profits, the social services organizations, that will be feasting off the fat of taxes (e.g., those that are really in it for the business rather than the charitable purposes).
      ",fat,funding,y,1,excess,,excess,,,
80,Yet they have no compunction about robbing them.,"There is only one way to stop the tax hemorrhage.
      ",hemorrhage,loss,y,1,loss,,,,,
81,As for the point of a gun....I'm not sure what you're getting at.,"A gun, in my opinion, is a tool.
      ",tool,weapon,n,0,object,,object,"device, machine",,
82,"(According to the Bureau of Alcohol, Tobacco, Firearms and Explosives, about 1 percent of gun dealers supply almost 60 percent of guns used in crimes.)","And he has focused on gun suppression: There was a 13 percent increase in gun arrests in the city from 2005 to 2006.
      ",suppression,reduction,y,1,reduction,,,,,
83,"They're harder to make accurate (although it's still very possible), wear the frame in unfortunate ways, tend to cost more, are harder to field strip, and require a non-standard recoil system that provides no benefit over the original GI system.","In 3"" guns they're about the only option, but 3"" guns are a sinkhole of unreliability anyways.
      ",sinkhole,large amount of money,n,0,waste,prime example. ,waste,,,
84,"Today, about 32 percent of the population live below the poverty line.","Preliminary findings of ADB's Poverty Analysis in Pakistan show extreme pockets of poverty in rural Sindh and southern Punjab, whereas the whole province of Balochistan is poor by all indicators of poverty and development.
      ",pockets,areas,y,1,areas,,,small areas,,
85,"Transportation and exchange are properly included in production, being a part of the process in which natural objects are by the exertion of human labor better fitted to satisfy the desires of man.","08 Nor yet again is there any logical reason in the division of the field of the science of political economy for following that department which treats of the distribution of wealth with other departments treating of the consumption of wealth or of taxation, as is done by some of the minor and more recent writers.
      ",consumption,use,y,1,use,,utilization,,,
86,".He argues that The Daily Show, in particular, can be characterized through a “deliberative theory of democracy”.He expands upon this in claiming, “only civil and honest conversation can provide the legitimate foundation for government (120).Is this an","accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs
      ",apex,ideal form,y,1,ideal form,,types,ideal type,,
87,[EMPTY],"The first panel will consider the increasing attempts to use technology to enhance regulatory capacity, both by using it to improve government capacity for decisionmaking and monitoring, and by employing “code” as a regulatory tool in addition to formal law.
    ",capacity,query amount,n,0,ability,not that metaphorical,ability,,,
88,"""It's extraordinary for a governor to put so much of his political capital on a pair of ballot propositions, particularly this early in the governorship,"" said Jack Pitney, a professor of government at Claremont McKenna College.","""It's a calculated risk, because if they go down, the state will have even bigger fiscal problems, and his reputation for ballot-box magic will take a hit.""
      ",magic,political influence or skill,y,1,success,,success,ability,,
89,But Fredericksburg offered both North and South an important lesson about using old tactics against new weapons.,"In the days of smoothbore muskets, soldiers compensated for the guns’ inaccuracy by standing shoulder to shoulder and firing in unison, creating a wall of bullets.
      ",wall,volley of bullets,y,1,volley,,volley,,,
90,To his delight he finds that when he holds it by the barrel he can crush things and break them better than with his wooden mallet.,"To him, the gun is a hammer.
      ",hammer,not metaphorical,n,0,tool,solution,tool,implement,,
91,It’s that running for president makes you stiff.,"Message control is paramount to modern campaigns, but it’s also a candidate’s straitjacket hemmed in by voter interests, poll-tested buzz words, and obligatory nods to patriotism and family.
      ",straitjacket,constraints,y,1,constraints,,limitations,,,
92,"The analysts also give warning that the kind of organised crime plaguing Russia could eventually take over the government of an Eastern or Central European country, and that countries in Africa and South Asia may find themselves ungoverned, as states wither away under pressure from security threats and diminishing resources..","The US intelligence community expects that terrorism would survive until 2025, but in slightly different form, suggesting that alQaeda's ""terrorist wave"" might be breaking up.
      ",wave,increase,y,1,trend,,trend,,,
93,"Nonetheless, it has become painfully clear that many countries face a tremendous struggle to make democracy work.","It is all too common for countries attempting political transitions to achieve the forms but not the substance of democracy.
      ",substance,essence,y,1,essence,,,,,
94,Jones suggested hiking the cost of ammunition.,"""And if you're not going to reduce the volume of guns, make the ammunition expensive so that every time you point a gun at somebody and you're going to pull the trigger, think, is that life worth $5,000 for a bullet?""
      ",volume,number,y,1,amount,,amount,,,
95,But very often they are not.,"Instead, many religions simply accumulate countless millions of dollars in assets, including vast amounts of property, huge and lavish church buildings, and unceasing luxury for their leaders - this although virtually all religions teach that excessive wealth is a barrier to salvation.
      ",barrier,preventative,y,1,hindrance,,hindrance,obstacle,,
96,"Under Brezhnev, in contrast to the Putin era, Russia’s most basic social indicators were all visibly deteriorating: the birth rate was shrinking, the murder rate was increasing, mortality was increasing, suicide was becoming more common, life expectancy was declining, and alcoholism was ever more prevalent and deadly.","Can the current combination of positive social change and government regression continue indefinitely?
      ",regression,decrease in social indicators,n,0,reduction,,reduction,,,
97,"But the logical result of Keynesianism, the welfare state, cannot resolve the underlying contradictions of the capitalist mode of production even though it may, for a period, blunt their sharpest edges.","In the final analysis, Keynesianism became the economic design whereby the modern capitalist state assumed its present bureaucratic vastness and endemic parasitism.
      ",vastness,bureaucracy amount,n,0,size,,size,large size,,
98,[EMPTY],"The unloading of bureaucracy could be achieved by ensuring a comprehensive and understandable map of qualifications and a range of informed brokerage services.
    ",unloading,simplification,y,1,simplification,,reduction,,,
99,"Stabilization of its monopoly role in the power-brokerage marketplace. The rest of society, with few and insignificant exceptions, complies with the demands of government, even to the extent of mirroring one of its worst features, the use of hierarchy as a mechanism for power-brokerage, within the structures of virtually all our institutions, both public and private.","Thus it is that humanity today labors under the burden of a vast parasite, which, left unchecked, will do what all parasites do: it will destroy its host, even though its own survival depends upon the health of its host.  Today the parasite of government has the power to turn our entire planet into a radioactive cinder, unfit to sustain any kind of life as we know it.  As things stand now, it is likely to do this. But maybe it’s not too late. Maybe, by using HoloMatic institutions comprised of ethical Octologues, we can pull ourselves back from the brink of disaster and transform human society into a sustainable thriving whole.
      ",parasite,bureaucracy ,n,0,detriment,,detriment,,,Corrected annotation to literal interpretation (changed to n)
100,Fix the hole in your bucket before you proclaim the need to pour more water into it.,"Government taxation is a parasite on the economic life of any country.
      ",parasite,taxation,n,0,detriment,,detriment,,,Corrected annotation to literal interpretation (changed to n)
101,"February 16th, 2008 · No Comments","Just as local experts were revealing their plans to ""fix"" what ails Colorado, a heavy-handed health care overhaul crashed on the rocks in California and Democrat presidential candidates clashed over the appropriate size of government’s health care hammer.
      ",hammer,policy,y,1,policy,,,"government policy, government health care, government health care policy",,
102,"No more ""Free Burma"" Boycotts","The FBC was founded at the University of Wisconsin at Madison in 1995 as a Burmese-led political initiative to support Burmese people's aspirations and struggle for democracy and human rights through boycotts, pro-sanctions advocacy and Burma awareness promotion.
      ",struggle,I couldn't come up with a target.,n,0,efforts,,efforts,,,
103,"Grose, Thomas K. // Time International (South Pacific Edition);12/31/2007-1/7/2008, Issue 51/52, p114 The article discusses the increase production of Rolls-Royce automobiles.","Demand for the luxury cars is soaring as new wealth floods into Asia, especially China.
      ",floods,increases,y,1,increases,,,,Verb not noun,
104,"“Everyone in Egypt has been upset with the idea of the marriage of wealth and power,” Mr. Bargisi said.","“I am afraid the divorce of wealth from power will probably not only lead to the unfair treatment of many businessmen and former politicians, but might also take Egypt in a direction that will be devastating for the economy and the prospects of democracy.
      ",divorce,separation,y,1,separation,,,,,
105,A lot can be done within the 'belly of the beast'.,"Cheers from a fellow bureaucratic traveler.
      ",traveler,employee,y,1,employee,,person,individual,A very strange metaphor. Feels quite unnatural to me.,
106,We used to take kids and sometimes their parents shooting on our own property.,"We'd provide the guns and the ammo as a way of dispelling the perceived taint of guns.
      ",taint,stigma,y,1,stigma,,,,,
107,"Rather, he proposes that racism and the related conferral or denial of whiteness and its privileges has been ""among the central organizers of the political life of the republic all along"" (43).","In making these claims Jacobson seeks to revise the work of Oscar Handlin and John Higham, who have depicted racism as periodically causing aberrations in America's grand odyssey of democracy, not as a ""language and a logic"" that caught white as well as black and red others in its grasp throughout America's history (135, 164, 274).
      ",odyssey,history,y,1,history,,,,,
108,"Not with glitzy events, not with advertising, not with travel to meet constituents.","And they don’t have the glamour and veneer of wealth that appeals and dazzles, nor do they have the support of the lobbyists they can promise sweet payouts to once they get into office.
      ",veneer,illusion,n,0,appeal,,appeal,superficial appeal,,
109,"Taxation should be based on social and economic impact, not adherence to utopia ideology.","Shifting the entire tax burden onto landowners would likely result in a disaster from massive hikes in the price of food.
      ",burden,taxes,n,0,obligation,,obligation,large obligation,,
110,"When charter schools were approved in North Carolina in 1996, they came under the purview of the State Board of Education. The legislature wrote the broad rules. An advisory committee created by the state board was responsible for screening charter school applications.","The system as it evolved seemed to work as intended. Though 29 charter schools closed in the first decade of the state’s charter school initiative, others thrived. There’s no doubt that they’re popular. Once the legislature eliminated a cap of 100 schools statewide, the ranks of charters grew to 107 this year. Another 25 will open in the fall. The State Board of Education has largely let charter schools rise or fall on their own merits. To its credit, the state board didn’t drown charter schools in a bureaucratic bathtub.
      ",bathtub,bureaucracy,n,0,situation,,situation,"environment, negative situation, negative environment",,Corrected annotation to literal interpretation (changed to n)
111,Free trade is not free; it comes at the price of our nation.,"Even an idiot knows that when imports exceed exports you have a net money and wealth drain, a drain that has now reached catastrophic proportions.
      ",drain,loss,y,1,loss,,,,,
