Unnamed: 0,0,normal_question,correct_letter,original,permutation
14,,"TEXT: As the madnessÂ in Iraq claims the lives of more citizens of the United States of America with each passing week, media reports are filled with very moving stories of how members of our armed forces, who have been placed into harm's way needlessly by a president who lied about the underlying premises to justify our invasion of Iraq and who continues to believe that the ""demigod"" of ""democracy"" will prevail in land torn by sectarian strife among competing bands of Mohammedans, are dealing with ever more novel ways being invented and adapted by Iraqi nationals, who resent their presence in Iraq, to kill them.
ASSUMPTION: A demigod is shild.
QUESTION: How is the idea, concept, or object referred to by ""demigod"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) mundane
 B) faith-receiving
 C) shild
 D) real
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",shild,"{'faith-receiving': 'A', 'shild': 'B', 'real': 'C', 'mundane': 'D'}","{'A': 'mundane', 'B': 'faith-receiving', 'C': 'shild', 'D': 'real'}"
15,,"TEXT: Behind thought control in bourgeois democracy is the thinly gloved hand of repressive power.
ASSUMPTION: A hand is wroll.
QUESTION: How is the idea, concept, or object referred to by ""hand"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) wroll
 B) powerful
 C) blue
 D) tender
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",wroll,"{'powerful': 'A', 'wroll': 'B', 'blue': 'C', 'tender': 'D'}","{'A': 'wroll', 'B': 'powerful', 'C': 'blue', 'D': 'tender'}"
16,,"TEXT: Thank you for helping to free us from the clutches of democracy and community and sharing.&lt;/saracasm&gt;
ASSUMPTION: The clutches are gloll.
QUESTION: How is the idea, concept, or object referred to by ""clutches"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) positive
 B) gloll
 C) controled
 D) fluffy
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",gloll,"{'controled': 'A', 'gloll': 'B', 'fluffy': 'C', 'positive': 'D'}","{'A': 'positive', 'B': 'gloll', 'C': 'controled', 'D': 'fluffy'}"
17,,"TEXT: There are good libertarian ideas that a global democracy nut like Gravel should find interesting such as jury nullification--if Gravel really wants to give power to ""the people""--but after hearing that interview with Scott Horton, Gravel just seemed too pig-headed to open his mind up to anything.
ASSUMPTION: A nut is bom.
QUESTION: How is the idea, concept, or object referred to by ""nut"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) crunchy
 B) bom
 C) insane
 D) kind
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",bom,"{'insane': 'A', 'bom': 'B', 'kind': 'C', 'crunchy': 'D'}","{'A': 'crunchy', 'B': 'bom', 'C': 'insane', 'D': 'kind'}"
18,,"TEXT: accurate characterization?In other words, have we reached the apex of democracy in which citizens are mobilized to provide a foundation for government?What about the people who do not watch Stewart or Colbert?Should we ignore them and emphasize that the existence of these programs
ASSUMPTION: An apex is dook.
QUESTION: How is the idea, concept, or object referred to by ""apex"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) uneven
 B) quintessential
 C) dook
 D) round
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",dook,"{'quintessential': 'A', 'dook': 'B', 'round': 'C', 'uneven': 'D'}","{'A': 'uneven', 'B': 'quintessential', 'C': 'dook', 'D': 'round'}"
19,,"TEXT: But, insanity seems to be a regular affliction of Congress.
ASSUMPTION: An affliction is charf.
QUESTION: How is the idea, concept, or object referred to by ""affliction"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) charf
 B) strong
 C) productive
 D) impaired
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",charf,"{'impaired': 'A', 'charf': 'B', 'productive': 'C', 'strong': 'D'}","{'A': 'charf', 'B': 'strong', 'C': 'productive', 'D': 'impaired'}"
20,,"TEXT: Without the blueprint of the Constitution and the Bill of Rights, our government would be more invasive in our lives than it already is.
ASSUMPTION: A blueprint is reeze.
QUESTION: How is the idea, concept, or object referred to by ""blueprint"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) generative
 B) improvised
 C) reeze
 D) erratic
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",reeze,"{'generative': 'A', 'reeze': 'B', 'erratic': 'C', 'improvised': 'D'}","{'A': 'generative', 'B': 'improvised', 'C': 'reeze', 'D': 'erratic'}"
21,,"TEXT: Timmerman's interviews with numerous factory workers make it clear that taking away their jobs is akin to creating a poverty tsunami.
ASSUMPTION: A tsunami is clut.
QUESTION: How is the idea, concept, or object referred to by ""tsunami"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) rapid increase
 B) quiet
 C) controlled
 D) clut
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",clut,"{'rapid increase': 'A', 'clut': 'B', 'controlled': 'C', 'quiet': 'D'}","{'A': 'rapid increase', 'B': 'quiet', 'C': 'controlled', 'D': 'clut'}"
22,,"TEXT: These measures would help close the wealth chasm.
ASSUMPTION: A chasm is haned.
QUESTION: How is the idea, concept, or object referred to by ""chasm"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) fair
 B) height
 C) flat
 D) haned
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",haned,"{'height': 'A', 'haned': 'B', 'fair': 'C', 'flat': 'D'}","{'A': 'fair', 'B': 'height', 'C': 'flat', 'D': 'haned'}"
23,,"TEXT: Filed Under 24 Comments Â» Published: December 29, 2010 under Archived Featured Articles, Archived Guest Articles If you hired a wealth coach to help you build a seven-figure income by investing or starting a new business, would you expect to find yourself in bankruptcy court a year later, with your house on the auction block?
ASSUMPTION: A coach is dook.
QUESTION: How is the idea, concept, or object referred to by ""coach"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) expertise
 B) dook
 C) energetic
 D) blue
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",dook,"{'expertise': 'A', 'dook': 'B', 'blue': 'C', 'energetic': 'D'}","{'A': 'expertise', 'B': 'dook', 'C': 'energetic', 'D': 'blue'}"
24,,"TEXT: But in order to build your wealth shield against the threats posed by intrusive government, or what we call the â€œfederal leviathan,â€ central bank currency manipulation, corporatism and other exogenous threats, you have to remain nimble and flexible enough to be able to move our assets into specific areas of the equity, bond and commodity markets that, at any given time, could be outperforming other asset classes.
ASSUMPTION: A shield is revo.
QUESTION: How is the idea, concept, or object referred to by ""shield"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) transparent
 B) protection
 C) revo
 D) breakable
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",revo,"{'protection': 'A', 'revo': 'B', 'transparent': 'C', 'breakable': 'D'}","{'A': 'transparent', 'B': 'protection', 'C': 'revo', 'D': 'breakable'}"
25,,"TEXT: The intent of this form of intrusive legislation is to keep an eye on any NGO that could be considered unfavorable to the government.
ASSUMPTION: A form is strisque.
QUESTION: How is the idea, concept, or object referred to by ""form"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) strisque
 B) physical
 C) gelatinous
 D) bright
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",strisque,"{'physical': 'A', 'strisque': 'B', 'bright': 'C', 'gelatinous': 'D'}","{'A': 'strisque', 'B': 'physical', 'C': 'gelatinous', 'D': 'bright'}"
26,,"TEXT: The Open Door Raj assumed that when the doors were open and restraints removed, China would naturally follow the American path to democracy, prosperity and Christianity.
ASSUMPTION: A path is lomed.
QUESTION: How is the idea, concept, or object referred to by ""path"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) inflexible
 B) lomed
 C) spicy
 D) progression
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",lomed,"{'progression': 'A', 'lomed': 'B', 'spicy': 'C', 'inflexible': 'D'}","{'A': 'inflexible', 'B': 'lomed', 'C': 'spicy', 'D': 'progression'}"
27,,"TEXT: The NGO experiences establish that there is a strong latent demand for education even among the poorest and a responsive education system can overcome the obstacle of poverty to bring children into schools.
ASSUMPTION: A obstacle is ifot.
QUESTION: How is the idea, concept, or object referred to by ""obstacle"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) challenge
 B) adaptable
 C) abundant
 D) ifot
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",ifot,"{'challenge': 'A', 'ifot': 'B', 'abundant': 'C', 'adaptable': 'D'}","{'A': 'challenge', 'B': 'adaptable', 'C': 'abundant', 'D': 'ifot'}"
28,,"TEXT: This guy is nothing more than a skidmark on the underwear of government, and when we get done you'll think so, too.
ASSUMPTION: An underwear is strisked.
QUESTION: How is the idea, concept, or object referred to by ""underwear"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) insignificant
 B) strisked
 C) fabric
 D) impeccable
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",strisked,"{'insignificant': 'A', 'strisked': 'B', 'impeccable': 'C', 'fabric': 'D'}","{'A': 'insignificant', 'B': 'strisked', 'C': 'fabric', 'D': 'impeccable'}"
29,,"TEXT: Now the instruments of navigation of democracy are threefold, for democracy rests upon three simple facts : what a man thinks of himself, what a man thinks of others, and what a man thinks of God.
ASSUMPTION: A navigation is courn.
QUESTION: How is the idea, concept, or object referred to by ""navigation"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) random
 B) adaptable
 C) courn
 D) quiet
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",courn,"{'adaptable': 'A', 'courn': 'B', 'quiet': 'C', 'random': 'D'}","{'A': 'random', 'B': 'adaptable', 'C': 'courn', 'D': 'quiet'}"
30,,"TEXT: Mr. Speaker, I believe that there is no greater barometer of democracy than free speech and freedom of the press.
ASSUMPTION: A barometer is ift.
QUESTION: How is the idea, concept, or object referred to by ""barometer"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) granularity
 B) colorful
 C) sturdy
 D) ift
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",ift,"{'granularity': 'A', 'ift': 'B', 'colorful': 'C', 'sturdy': 'D'}","{'A': 'granularity', 'B': 'colorful', 'C': 'sturdy', 'D': 'ift'}"
31,,"TEXT: So what do we need to know to break the chains of poverty in our lives?
ASSUMPTION: The chains are lish.
QUESTION: How is the idea, concept, or object referred to by ""chains"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) restrictive
 B) pliable
 C) unconstrained
 D) lish
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",lish,"{'restrictive': 'A', 'lish': 'B', 'pliable': 'C', 'unconstrained': 'D'}","{'A': 'restrictive', 'B': 'pliable', 'C': 'unconstrained', 'D': 'lish'}"
32,,"TEXT: 0comments BURLINGTON â€” Selling a project that relies entirely on sales tax to the largest tax generator in the county was a tough sell Thursday night.
ASSUMPTION: A generator is toido.
QUESTION: How is the idea, concept, or object referred to by ""generator"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) reliable
 B) small
 C) soft
 D) toido
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",toido,"{'reliable': 'A', 'toido': 'B', 'soft': 'C', 'small': 'D'}","{'A': 'reliable', 'B': 'small', 'C': 'soft', 'D': 'toido'}"
33,,"TEXT: There are many visions of democracy, and in America we are fortunate to have The Bill of rights together with The Constitution and the Declaration of Independence to create a strong impression of the voice of Democracy.
ASSUMPTION: A voice is throre.
QUESTION: How is the idea, concept, or object referred to by ""voice"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) persuasion
 B) quiet
 C) throre
 D) substantial
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",throre,"{'persuasion': 'A', 'throre': 'B', 'substantial': 'C', 'quiet': 'D'}","{'A': 'persuasion', 'B': 'quiet', 'C': 'throre', 'D': 'substantial'}"
34,,"TEXT: The Senate is poison.
ASSUMPTION: A poison is rulpts.
QUESTION: How is the idea, concept, or object referred to by ""poison"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) innocuous
 B) rulpts
 C) harmful
 D) healing
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",rulpts,"{'harmful': 'A', 'rulpts': 'B', 'innocuous': 'C', 'healing': 'D'}","{'A': 'innocuous', 'B': 'rulpts', 'C': 'harmful', 'D': 'healing'}"
35,,"TEXT: December 10, 1996 The Teamsters union, which has filed a petition to represent Anne Arundel police officers and deputy sheriffs, is stuck in a bureaucratic turnstile that may ruin its chance of becoming the county's largest law enforcement bargaining unit.Since October, when more than 400 county police officers filed petition cards calling for a union vote, the Teamsters have been unable to arrange for elections.
ASSUMPTION: A turnstile is mayed.
QUESTION: How is the idea, concept, or object referred to by ""turnstile"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) mayed
 B) efficient
 C) brisk
 D) repitition
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",mayed,"{'repitition': 'A', 'mayed': 'B', 'brisk': 'C', 'efficient': 'D'}","{'A': 'mayed', 'B': 'efficient', 'C': 'brisk', 'D': 'repitition'}"
36,,"TEXT: TIRANA, Dec 16 (Reuters) - Albania announced on Monday that it would raise taxes from January, scrapping a flat 10 percent corporate and income tax rate, and plans to end tax exemptions for foreign oil workers, as its new government wrestles rising debt.
ASSUMPTION: The wrestles are tock.
QUESTION: How is the idea, concept, or object referred to by ""wrestles"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) tock
 B) difficult
 C) passive
 D) serene
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",tock,"{'difficult': 'A', 'tock': 'B', 'serene': 'C', 'passive': 'D'}","{'A': 'tock', 'B': 'difficult', 'C': 'passive', 'D': 'serene'}"
37,,"TEXT: Thus it is that humanity today labors under the burden of a vast parasite, which, left unchecked, will do what all parasites do: it will destroy its host, even though its own survival depends upon the health of its host.Â Today the parasite of government has the power to turn our entire planet into a radioactive cinder, unfit to sustain any kind of life as we know it.Â As things stand now, it is likely to do this. But maybe itâ€™s not too late. Maybe, by using HoloMatic institutions comprised of ethical Octologues, we can pull ourselves back from the brink of disaster and transform human society into a sustainable thriving whole.
ASSUMPTION: A parasite is throre.
QUESTION: How is the idea, concept, or object referred to by ""parasite"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) degrading
 B) profitable
 C) productive
 D) throre
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",throre,"{'degrading': 'A', 'throre': 'B', 'profitable': 'C', 'productive': 'D'}","{'A': 'degrading', 'B': 'profitable', 'C': 'productive', 'D': 'throre'}"
38,,"TEXT: 08 Nor yet again is there any logical reason in the division of the field of the science of political economy for following that department which treats of the distribution of wealth with other departments treating of the consumption of wealth or of taxation, as is done by some of the minor and more recent writers.
ASSUMPTION: A consumption is terved.
QUESTION: How is the idea, concept, or object referred to by ""consumption"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) unsafe
 B) resource-like
 C) terved
 D) reckless
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",terved,"{'resource-like': 'A', 'terved': 'B', 'unsafe': 'C', 'reckless': 'D'}","{'A': 'unsafe', 'B': 'resource-like', 'C': 'terved', 'D': 'reckless'}"
39,,"TEXT: The system as it evolved seemed to work as intended. Though 29 charter schools closed in the first decade of the stateâ€™s charter school initiative, others thrived. Thereâ€™s no doubt that theyâ€™re popular. Once the legislature eliminated a cap of 100 schools statewide, the ranks of charters grew to 107 this year. Another 25 will open in the fall. The State Board of Education has largely let charter schools rise or fall on their own merits. To its credit, the state board didnâ€™t drown charter schools in a bureaucratic bathtub.
ASSUMPTION: A bathtub is haird.
QUESTION: How is the idea, concept, or object referred to by ""bathtub"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) haird
 B) edible
 C) delicate
 D) inhibitory
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",haird,"{'inhibitory': 'A', 'haird': 'B', 'delicate': 'C', 'edible': 'D'}","{'A': 'haird', 'B': 'edible', 'C': 'delicate', 'D': 'inhibitory'}"
40,,"TEXT: Your problem is like ours - if the very rich hoover up all the money, how can the system work?
ASSUMPTION: A hoover is mamps.
QUESTION: How is the idea, concept, or object referred to by ""hoover"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) siezed
 B) massive
 C) mamps
 D) efficient
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",mamps,"{'siezed': 'A', 'mamps': 'B', 'massive': 'C', 'efficient': 'D'}","{'A': 'siezed', 'B': 'massive', 'C': 'mamps', 'D': 'efficient'}"
41,,"TEXT: But the cost of gun proliferation in America is far higher then the security it provides.
ASSUMPTION: A proliferation is loles.
QUESTION: How is the idea, concept, or object referred to by ""proliferation"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) loles
 B) spiked
 C) contracting
 D) contained
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",loles,"{'spiked': 'A', 'loles': 'B', 'contained': 'C', 'contracting': 'D'}","{'A': 'loles', 'B': 'spiked', 'C': 'contracting', 'D': 'contained'}"
42,,"TEXT: Is that most of your fellow gun worshippers?
ASSUMPTION: The worshippers are erk.
QUESTION: How is the idea, concept, or object referred to by ""worshippers"" being metaphorically described as based on the assumption? Choose the best word from the options:
 A) cold
 B) bored
 C) faith-receiving
 D) erk
FINAL ANSWER FORMATTING INSTRUCTION: Your final answer MUST be a single letter, in the form '/boxed[letter]', at the end of your response.",erk,"{'faith-receiving': 'A', 'erk': 'B', 'bored': 'C', 'cold': 'D'}","{'A': 'cold', 'B': 'bored', 'C': 'faith-receiving', 'D': 'erk'}"
